ID long b ID_2 long_2 b_2 m_sep
b299_610_35989 351.105867 -1.975623 b299_610_35989 351.105867 -1.975623 0.0
b299_612_78162 350.97574199999997 -2.625197 b299_612_78162 350.97574199999997 -2.625197 0.0
b299_612_87167 351.047014 -2.645906 b299_612_87167 351.047014 -2.645906 0.0
b299_614_62657 351.470635 -2.0376950000000003 b299_614_62657 351.470635 -2.0376950000000003 0.0
b299_614_46708 351.30655 -2.00236 b299_614_46708 351.30655 -2.00236 0.0
b299_614_46133 351.460611 -2.001015 b299_614_46133 351.460611 -2.001015 0.0
b299_614_33988 351.462912 -1.9736740000000002 b299_614_33988 351.462912 -1.9736740000000002 0.0
b299_614_5670 351.41481699999997 -1.9098099999999998 b299_414_88197 351.414826 -1.909816 0.03892498036539433
b299_614_5670 351.41481699999997 -1.9098099999999998 b299_614_5670 351.41481699999997 -1.9098099999999998 0.0
b299_616_62301 351.40196299999997 -2.590443 b299_616_62301 351.40196299999997 -2.590443 0.0
b299_616_18065 351.331114 -2.488689 b299_616_18065 351.331114 -2.488689 0.0
b299_616_19998 351.425468 -2.492514 b299_616_19998 351.425468 -2.492514 0.0
b299_616_48822 351.290231 -2.5596099999999997 b299_116_49020 351.290234 -2.559607 0.015265889171222253
b299_616_48822 351.290231 -2.5596099999999997 b299_616_48822 351.290231 -2.5596099999999997 0.0
b299_616_77273 351.359872 -2.625961 b299_616_77273 351.359872 -2.625961 0.0
b299_616_1338 351.300583 -2.451332 b299_116_1563 351.300592 -2.451319 0.05690412672840549
b299_616_1338 351.300583 -2.451332 b299_416_80880 351.300591 -2.451323 0.043332235981568504
b299_616_1338 351.300583 -2.451332 b299_616_1338 351.300583 -2.451332 0.0
